id,name,address,cuisine_type,image_url,password,open
1,Pizza Palace,Gulshan,Italian,,pizzapass,1
2,Burger Joint,Banani,American,,burgerpass,1
3,Zamzam,IUT,Bangladeshi,,zamzampass,1
4,TestRest,Pallabi,Italian,,restpass,1
5,PizzaNut,IUT,Italian,,nutpizza,1
6,Taj Restaurant,Gulshan,Indian,,tajpass,1
7,Pasta House,Banani,Italian,,pastapass,1
8,Biryani King,Pallabi,Bangladeshi,,biryanipass,1
9,Chicken Fry,Gulshan,Bangladeshi,,chickenpass,1
10,Cafe Mocha,Banani,Continental,,mochapass,1
11,Dragon Bowl,Pallabi,Chinese,,dragonpass,1
12,Deshi Khana,IUT,Bangladeshi,,deshipass,1
